q1,q2,q3,q4,q5,q6,q7,q8
C,C,C,C,C,C,C,C
0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
C,C,C,C,C,C,C,C
0.0995884871187962,0.0,-0.4737521721613407,3.141592653589793,3.141592653589793,-0.804561878584346,0.0,-0.3967831521483909
C,C,C,C,C,C,C,C
