q1,q2,q3,q4,q5,q6,q7,q8
C,C,C,C,C,C,C,C
0.000,0.000,0.000,0.000,3.141,0.000,0.000,0.000
C,C,C,C,C,C,C,C
0.148,0.000,-0.240,3.135,3.141,-0.920,0.000,-0.550
C,C,C,C,C,C,C,C
0.000,0.000,0.000,1.572,0.000,0.000,0.000,0.000
C,C,C,C,C,C,C,C
1.000,0.000,-0.200,3.141,0.000,0.000,0.000,-0.800
C,C,C,C,C,C,C,C
0.552,0.000,-0.760,3.141,0.000,0.800,0.000,0.557
C,C,C,C,C,C,C,C
-0.000,0.000,-0.000, 3.141,1.570,0.000,0.000,0.000
C,C,C,C,C,C,C,C
-0.500,0.000,0.500,0.000,3.141,-0.500,0.000,0.500
C,C,C,C,C,C,C,C
-0.500,0.000,0.500,0.000,0.000,0.500,0.000,-0.500
